# NEW BASELINE @ STRIDE 3
2026/04/10 17:09:53,V101_stereoi,0.087055,0.998843,0.087029,3.336584,19.832184,48.960821
2026/04/10 17:10:46,V101_stereoi,0.087055,0.998843,0.087029,3.336584,19.974080,48.613003
2026/04/10 17:11:44,MH03_stereoi,0.422773,1.012977,0.420313,3.334347,16.931438,53.155557
2026/04/10 17:12:36,MH03_stereoi,0.422773,1.012977,0.420313,3.334347,18.658998,48.234101
2026/04/10 17:13:14,MH04_stereoi,0.577493,0.967238,0.529588,3.336202,19.579788,34.627545
2026/04/10 17:13:51,MH04_stereoi,0.577493,0.967238,0.529588,3.336202,19.713714,34.392302

# Without FEJ @ STRIDE 3 @ MAX_CAM_STATE_SIZE 20
2026/04/10 17:43:06,V101_stereoi,0.085564,0.999132,0.085549,3.336584,22.143971,43.849407
2026/04/10 17:43:55,V101_stereoi,0.085564,0.999132,0.085549,3.336584,22.095225,43.946146
2026/04/10 17:44:48,MH03_stereoi,0.268313,1.009699,0.266112,3.334347,18.397528,48.919616
2026/04/10 17:45:40,MH03_stereoi,0.268313,1.009699,0.266112,3.334347,18.771947,47.943881
2026/04/10 17:46:16,MH04_stereoi,0.906375,0.961457,0.864858,3.336202,20.533085,33.019880
2026/04/10 17:46:54,MH04_stereoi,0.906375,0.961457,0.864858,3.336202,19.538228,34.701202

# Without FEJ @ STRIDE 3 @ MAX_CAM_STATE_SIZE 19
2026/04/10 18:17:47,V101_stereoi,0.202635,0.984715,0.200607,3.336584,22.847775,42.498667
2026/04/10 18:18:35,V101_stereoi,0.202635,0.984715,0.200607,3.336584,22.185849,43.766638
2026/04/10 18:19:24,MH03_stereoi,0.389655,1.007808,0.388679,3.334347,19.652599,45.795469
2026/04/10 18:20:13,MH03_stereoi,0.389655,1.007808,0.388679,3.334347,20.189564,44.577486
2026/04/10 18:20:49,MH04_stereoi,1.991388,0.910604,1.884581,3.336202,20.234182,33.507656
2026/04/10 18:21:25,MH04_stereoi,1.991388,0.910604,1.884581,3.336202,20.758128,32.661906

# Without FEJ @ STRIDE 3 @ MAX_CAM_STATE_SIZE 18
